2014-03-31 | 04:01:31 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:31 | (Log)     | 	 Wetting: 218.181824
2014-03-31 | 04:01:31 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:31 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:31 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:31 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:01:31 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:31 | (Log)     | 	 Battery voltage: 8.520943
2014-03-31 | 04:01:31 | (Log)     | 	 CRC: 784458420
2014-03-31 | 04:01:31 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:31 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:32 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:35 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:35 | (Log)     | 	 Time: 1396238495
2014-03-31 | 04:01:35 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:36 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:36 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:36 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:36 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:36 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:36 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:01:36 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:36 | (Log)     | 	 Battery voltage: 8.436213
2014-03-31 | 04:01:36 | (Log)     | 	 CRC: 785321643
2014-03-31 | 04:01:36 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:36 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:37 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:40 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:40 | (Log)     | 	 Time: 1396238500
2014-03-31 | 04:01:40 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:41 | (Log)     | 	 Pluviometer: 2.540000
2014-03-31 | 04:01:41 | (Log)     | 	 Wetting: 218.181824
2014-03-31 | 04:01:41 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:41 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:41 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:41 | (Log)     | 	 Soil humidity: 3.243235
2014-03-31 | 04:01:41 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:41 | (Log)     | 	 Battery voltage: 8.517259
2014-03-31 | 04:01:41 | (Log)     | 	 CRC: 787608795
2014-03-31 | 04:01:41 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:41 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:42 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:45 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:45 | (Log)     | 	 Time: 1396238505
2014-03-31 | 04:01:45 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:46 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:46 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:46 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:46 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:46 | (Log)     | 	 Soil temperature: 28.914286
2014-03-31 | 04:01:46 | (Log)     | 	 Soil humidity: 3.243235
2014-03-31 | 04:01:46 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:46 | (Log)     | 	 Battery voltage: 8.517259
2014-03-31 | 04:01:46 | (Log)     | 	 CRC: 784420721
2014-03-31 | 04:01:46 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:46 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:47 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:50 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:50 | (Log)     | 	 Time: 1396238510
2014-03-31 | 04:01:50 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:51 | (Log)     | 	 Pluviometer: 2.540000
2014-03-31 | 04:01:51 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:01:51 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:51 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:51 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:51 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:01:51 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:51 | (Log)     | 	 Battery voltage: 8.520943
2014-03-31 | 04:01:51 | (Log)     | 	 CRC: 787571559
2014-03-31 | 04:01:51 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:51 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:52 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:01:55 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:01:55 | (Log)     | 	 Time: 1396238515
2014-03-31 | 04:01:55 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:01:56 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:01:56 | (Log)     | 	 Wetting: 218.677078
2014-03-31 | 04:01:56 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:01:56 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:01:56 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:01:56 | (Log)     | 	 Soil humidity: 3.246813
2014-03-31 | 04:01:56 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:01:56 | (Log)     | 	 Battery voltage: 8.543046
2014-03-31 | 04:01:56 | (Log)     | 	 CRC: 784406939
2014-03-31 | 04:01:56 | (Log)     | readSensors() - finished.
2014-03-31 | 04:01:56 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:01:57 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:02:00 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:02:00 | (Log)     | 	 Time: 1396238520
2014-03-31 | 04:02:00 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:02:01 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:02:01 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:02:01 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:02:01 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:02:01 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:02:01 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:02:01 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:02:01 | (Log)     | 	 Battery voltage: 8.546730
2014-03-31 | 04:02:01 | (Log)     | 	 CRC: 784419678
2014-03-31 | 04:02:01 | (Log)     | readSensors() - finished.
2014-03-31 | 04:02:01 | (Log)     | saveData() - saving binary file.
2014-03-31 | 04:02:02 | (Log)     | saveData() - binary file saved.
2014-03-31 | 04:02:05 | (Log)     | readSensors() - initializing readings.
2014-03-31 | 04:02:05 | (Log)     | 	 Time: 1396238525
2014-03-31 | 04:02:05 | (Log)     | 	 Anemometer: 100.000000
2014-03-31 | 04:02:06 | (Log)     | 	 Pluviometer: 2.286000
2014-03-31 | 04:02:06 | (Log)     | 	 Wetting: 218.429260
2014-03-31 | 04:02:06 | (Log)     | 	 Temperature: 26.000000
2014-03-31 | 04:02:06 | (Log)     | 	 Humidity: 68.500000
2014-03-31 | 04:02:06 | (Log)     | 	 Soil temperature: 28.926859
2014-03-31 | 04:02:06 | (Log)     | 	 Soil humidity: 3.239657
2014-03-31 | 04:02:06 | (Log)     | 	 Solar radiation: inf
2014-03-31 | 04:02:06 | (Log)     | 	 Battery voltage: 8.296223
2014-03-31 | 04:02:06 | (Log)     | 	 CRC: 785205607
2014-03-31 | 04:02:06 | (Log)     | readSensors() - finished.
2014-03-31 | 04:02:06 | (Log)     | saveData() - saving binary file.
