2014-03-31 | 04:17:45 | (Log)     | readSensors() iniciada
2014-03-31 | 04:17:45 | (Log)     | readSensors() concluida
2014-03-31 | 04:17:46 | (Log)     | set state: 3.
2014-03-31 | 04:17:46 | (Log)     | set state: 4.
2014-03-31 | 04:17:47 | (Log)     | set state: 1.
***** Inserting faults *****
2014-03-31 | 04:18:00 | (Log)     | set state: 2.
2014-03-31 | 04:18:00 | (Log)     | readSensors() iniciada
2014-03-31 | 04:18:00 | (Log)     | readSensors() concluida
2014-03-31 | 04:18:00 | (Log)     | set state: 3.
2014-03-31 | 04:18:01 | (Log)     | set state: 4.
